"Shortage reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Shortage status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Anticipated start date","Actual start date","Estimated end date","Actual end date",Reason,"Date Created","Date Updated","Tier 3"
171733,00060364,Shortage,"10% DEXTROSE INJECTION, USP","BAXTER CORPORATION","10% Dextrose Injection",DEXTROSE,10G,"500 mL (JB0163)","INTRAVENOUS; INTRAVENOUS",Resolved,SOLUTION,B05BA,"I.V. SOLUTIONS",2022-10-14,2022-10-14,2022-10-25,2022-10-25,"Disruption of the manufacture of the drug.",2022-10-14,2022-10-26,No
118648,00783625,Shortage,"12% SODIUM CHLORDIE PROCESSING SOLUTION","BAXTER CORPORATION","12% SODIUM CHLORDIE PROCESSING SOLUTION","SODIUM CHLORIDE",12G,"150 mL (4B7874Q)","IRRIGATION; IRRIGATION",Resolved,SOLUTION,B05CB,"IRRIGATING SOLUTIONS",2020-06-22,2020-06-22,2021-03-23,2021-03-23,"Demand increase for the drug.",2020-06-22,2021-03-24,No
43080,00436208,Shortage,"2% LIDOCAINE HYDROCHLORIDE INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","LIDOCAINE HYDROCHLORIDE LIFESHIELD","LIDOCAINE HYDROCHLORIDE",20MG,"10 x 5mL",INTRAVENOUS,Resolved,SOLUTION,C01BB,"ANTIARRHYTHMICS, CLASS I AND III",2018-04-13,,2018-07-13,2018-07-02,"Disruption of the manufacture of the drug.",2018-03-16,2018-07-03,No
51084,00436208,Shortage,"2% LIDOCAINE HYDROCHLORIDE INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","LIDOCAINE HYDROCHLORIDE ANSYR","LIDOCAINE HYDROCHLORIDE",20MG,"10 x 5mL",INTRAVENOUS,Resolved,SOLUTION,C01BB,"ANTIARRHYTHMICS, CLASS I AND III",,2018-06-29,,2018-07-31,"Disruption of the manufacture of the drug.",2018-06-01,2018-08-01,No
24792,02141450,Shortage,"20% PROSOL","BAXTER CORPORATION","20% PROSOL","PHENYLALANINE; HISTIDINE; TRYPTOPHAN; LEUCINE; ARGININE; THREONINE; ALANINE; DL-METHIONINE; GLYCINE; GLUTAMIC ACID; PROLINE; L-ASPARTIC ACID; TYROSINE; LYSINE; SERINE; VALINE; ISOLEUCINE","1G; 1.18G; 0.32G; 1.08G; 1.96G; 0.98G; 2.76G; 0.76G; 2.06G; 1.02G; 1.34G; 0.6G; 0.05G; 1.35G; 1.02G; 1.44G; 1.08G","2000 mL",INTRAVENOUS,Resolved,LIQUID,B05BA,"I.V. SOLUTIONS",2017-11-15,2017-11-15,2017-12-15,2017-11-21,"Disruption of the manufacture of the drug.",2017-10-10,2017-11-22,No
132584,02141450,Shortage,"20% PROSOL","BAXTER CORPORATION","Amino Acid Injection 20% w/v","VALINE; LYSINE; HISTIDINE; ISOLEUCINE; LEUCINE; PHENYLALANINE; THREONINE; DL-METHIONINE; TRYPTOPHAN; ALANINE; GLYCINE; ARGININE; PROLINE; GLUTAMIC ACID; SERINE; L-ASPARTIC ACID; TYROSINE","1.44G; 1.35G; 1.18G; 1.08G; 1.08G; 1G; 0.98G; 0.76G; 0.32G; 2.76G; 2.06G; 1.96G; 1.34G; 1.02G; 1.02G; 0.6G; 0.05G","2L bag (4bags/case) (JB6186)","INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05BA,"I.V. SOLUTIONS",2021-01-28,2021-01-28,2021-03-01,2021-03-01,"Requirements related to complying with good manufacturing practices.",2021-01-28,2021-03-02,No
146109,02141450,Shortage,"20% PROSOL","BAXTER CORPORATION","Amino Acid Injection 20% w/v","VALINE; TYROSINE; L-ASPARTIC ACID; SERINE; GLUTAMIC ACID; PROLINE; ARGININE; GLYCINE; ALANINE; TRYPTOPHAN; DL-METHIONINE; THREONINE; PHENYLALANINE; LEUCINE; ISOLEUCINE; HISTIDINE; LYSINE","1.44G; 0.05G; 0.6G; 1.02G; 1.02G; 1.34G; 1.96G; 2.06G; 2.76G; 0.32G; 0.76G; 0.98G; 1G; 1.08G; 1.08G; 1.18G; 1.35G","2000mL (JB6186)","INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05BA,"I.V. SOLUTIONS",,2021-09-23,2021-10-01,2021-10-01,"Demand increase for the drug.",2021-09-23,2021-10-02,No
247510,02141450,Shortage,"20% PROSOL","BAXTER CORPORATION","20% Prosol- Sulfite-Free (Amino Acid)","TYROSINE; L-ASPARTIC ACID; SERINE; GLUTAMIC ACID; PROLINE; ARGININE; GLYCINE; ALANINE; TRYPTOPHAN; DL-METHIONINE; THREONINE; PHENYLALANINE; LEUCINE; ISOLEUCINE; HISTIDINE; LYSINE; VALINE","0.05G; 0.6G; 1.02G; 1.02G; 1.34G; 1.96G; 2.06G; 2.76G; 0.32G; 0.76G; 0.98G; 1G; 1.08G; 1.08G; 1.18G; 1.35G; 1.44G","6 ea/ca","INTRAVENOUS; INTRAVENOUS",Resolved,LIQUID,B05BA,"I.V. SOLUTIONS",2025-01-08,2025-01-08,2025-02-03,2025-02-06,"Disruption of the manufacture of the drug.",2025-01-13,2025-02-07,No
129810,02330733,Shortage,"3% POLOCAINE DENTAL","DENTSPLY CANADA LIMITED","MEPIVACAINE HYDROCHLORIDE","MEPIVACAINE HYDROCHLORIDE",30MG,"50 x 1.8 mL Cartridges","BLOCK/INFILTRATION; BLOCK/INFILTRATION",Resolved,LIQUID,N01BB,"ANESTHETICS, LOCAL",2020-12-08,2020-12-08,2020-12-31,2021-01-22,"Delay in shipping of the drug.",2020-12-08,2021-01-23,No
138191,02330733,Shortage,"3% POLOCAINE DENTAL","DENTSPLY CANADA LIMITED","MEPIVACAINE HYDROCHLORIDE","MEPIVACAINE HYDROCHLORIDE",30MG,"50 x 1.8 mL Cartridges","BLOCK/INFILTRATION; BLOCK/INFILTRATION",Resolved,LIQUID,N01BB,"ANESTHETICS, LOCAL",2021-04-29,2021-04-29,2021-06-30,2021-05-27,"Delay in shipping of the drug.",2021-04-29,2021-05-28,No
