"Shortage reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Shortage status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Anticipated start date","Actual start date","Estimated end date","Actual end date",Reason,"Date Created","Date Updated","Tier 3"
219970,02324946,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,10MG,30FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-02-20,2024-03-08,2024-02-26,"Demand increase for the drug.",2024-02-20,2024-02-27,No
221825,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,"30 FCT UD","ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-03-11,2024-03-29,2024-04-02,"Delay in shipping of the drug.",2024-03-11,2024-04-03,No
226664,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-04-30,2024-06-14,2024-06-17,"Disruption of the manufacture of the drug.",2024-04-30,2024-06-18,No
228415,02324962,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,40MG,30FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-05-21,2024-06-28,2024-06-25,"Disruption of the manufacture of the drug.",2024-05-21,2024-06-26,No
230748,02324962,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,40MG,"100FCT BO","ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-06-17,2024-08-16,2024-08-05,"Disruption of the manufacture of the drug.",2024-06-17,2024-08-06,No
232468,02324970,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,80MG,"30FCT UD","ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-07-08,2024-08-02,2024-08-05,"Demand increase for the drug.",2024-07-08,2024-08-06,No
237736,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2024-09-16,2024-10-04,2024-09-23,"Disruption of the manufacture of the drug.",2024-09-16,2024-09-24,No
248125,02324962,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,40MG,30FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-01-20,2025-05-09,2025-05-05,"Demand increase for the drug.",2025-01-21,2025-05-06,No
249965,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,"30FCT UD","ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-02-10,2025-03-28,2025-03-31,"Demand increase for the drug.",2025-02-10,2025-04-01,No
250508,02324962,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,40MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-02-17,2025-06-06,2025-06-09,"Disruption of the manufacture of the drug.",2025-02-18,2025-06-10,No
252229,02324946,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,10MG,30FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-03-10,2025-05-09,2025-05-05,"Disruption of the manufacture of the drug.",2025-03-10,2025-05-06,No
254988,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-04-14,2025-05-16,2025-05-19,"Demand increase for the drug.",2025-04-14,2025-05-20,No
256655,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,500FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-05-05,2025-05-30,2025-06-02,"Disruption of the manufacture of the drug.",2025-05-05,2025-06-03,No
257050,02324970,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,80MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-05-12,2025-06-20,2025-06-23,"Disruption of the manufacture of the drug.",2025-05-12,2025-06-24,No
258255,02324962,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,40MG,500FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-05-26,2025-07-11,2025-07-14,"Disruption of the manufacture of the drug.",2025-05-26,2025-07-15,No
264155,02324954,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,20MG,"100 FCT","ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-08-04,2025-09-12,2025-09-15,"Disruption of the manufacture of the drug.",2025-08-04,2025-09-16,No
265404,02324970,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,80MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2025-08-18,2025-09-12,2025-09-15,"Disruption of the manufacture of the drug.",2025-08-18,2025-09-16,No
278169,02324962,Shortage,"SANDOZ ATORVASTATIN","SANDOZ CANADA INCORPORATED",ATORVASTATIN,ATORVASTATIN,40MG,500FCT,"ORAL; ORAL",Resolved,TABLET,C10AA,"LIPID MODIFYING AGENTS, PLAIN",,2026-02-16,2026-02-20,2026-02-23,"Requirements related to complying with good manufacturing practices.",2026-02-16,2026-02-25,No
93361,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,37.5ml,ORAL,Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2019-08-26,2019-09-16,2019-09-16,"Demand increase for the drug.",2019-09-10,2019-09-25,No
105200,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,15ML,ORAL,Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2020-01-27,,2020-02-10,"Delay in shipping of the drug.",2020-02-03,2020-02-15,No
112668,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED","SANDOZ AZITHROMYCIN",AZITHROMYCIN,200MG,"37,5 ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2020-04-17,2020-05-15,2020-05-12,"Delay in shipping of the drug.",2020-04-21,2020-05-19,No
160309,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,"15ML POS","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-05-10,2022-05-27,2022-05-24,"Requirements related to complying with good manufacturing practices.",2022-05-11,2022-05-24,No
162354,02332388,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,100MG,"100MG/5ML 15ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-06-09,2022-06-17,2022-06-22,"Delay in shipping of the drug.",2022-06-10,2022-06-23,No
162357,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,"200MG/5ML 15ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-06-09,2022-07-08,2022-07-13,"Demand increase for the drug.",2022-06-10,2022-07-14,No
162962,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED","AZITHROMY DH",AZITHROMYCIN,200MG,"22,5ML POS","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-06-17,2022-07-08,2022-07-13,"Demand increase for the drug.",2022-06-17,2022-07-14,No
163234,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,"37,5ML POS","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-06-22,2022-07-22,2022-07-20,"Requirements related to complying with good manufacturing practices.",2022-06-22,2022-07-21,No
165773,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED","SANDOZ AZITHROMYCIN",AZITHROMYCIN,200MG,37.5ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-07-29,2022-08-19,2022-08-18,"Delay in shipping of the drug.",2022-07-30,2022-08-18,No
165776,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED","SANDOZ AZITHROMYCIN",AZITHROMYCIN,200MG,15ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-07-29,2022-08-15,2022-08-18,"Delay in shipping of the drug.",2022-07-30,2022-08-18,No
171547,02332388,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,100MG,"100MG/5ML 15ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-10-12,2022-11-11,2022-11-25,"Demand increase for the drug.",2022-10-12,2022-11-26,No
173364,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED","AZITHROMY DH",AZITHROMYCIN,200MG,22.5ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-11-02,2022-11-25,2022-11-28,"Demand increase for the drug.",2022-11-03,2022-11-29,No
174963,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,15ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-11-16,2022-11-25,2022-11-28,"Requirements related to complying with good manufacturing practices.",2022-11-16,2022-11-29,No
175980,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,37.5ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2022-11-23,2023-01-20,2023-01-18,"Disruption of the manufacture of the drug.",2022-11-28,2023-01-19,No
181665,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,22.5ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2023-01-18,2023-01-27,2023-01-31,"Demand increase for the drug.",2023-01-19,2023-02-01,No
184233,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,"22,5ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2023-02-03,2023-02-17,2023-02-17,"Demand increase for the drug.",2023-02-09,2023-03-02,No
190134,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,"22,5ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2023-04-21,2023-07-14,2023-07-04,"Disruption of the manufacture of the drug.",2023-04-21,2023-07-05,No
190138,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,"37,5ML","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2023-04-21,2023-07-21,2023-07-10,"Disruption of the manufacture of the drug.",2023-04-21,2023-07-11,No
193041,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,15ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2023-05-22,2023-07-14,2023-07-10,"Demand increase for the drug.",2023-05-25,2023-07-11,No
194749,02332388,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,100MG,"15ML POS","ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2023-06-12,2023-07-21,2023-07-10,"Demand increase for the drug.",2023-06-12,2023-07-11,No
232900,02265826,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,250MG,100FCT,"ORAL; ORAL",Resolved,TABLET,J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2024-07-15,2024-10-11,2024-10-15,"Disruption of the manufacture of the drug.",2024-07-15,2024-10-15,No
237740,02265826,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,250MG,6FCT,"ORAL; ORAL",Resolved,TABLET,J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2024-09-16,2024-10-07,2024-10-07,"Disruption of the manufacture of the drug.",2024-09-16,2024-10-07,No
250512,02332396,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,200MG,37.5ML,"ORAL; ORAL",Resolved,"POWDER FOR SUSPENSION",J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2025-02-17,2025-04-11,2025-04-14,"Demand increase for the drug.",2025-02-18,2025-04-23,No
251110,02265826,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,250MG,100FCT,"ORAL; ORAL",Resolved,TABLET,J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2025-02-24,2025-05-09,2025-05-12,"Disruption of the manufacture of the drug.",2025-02-24,2025-05-13,No
260878,02265826,Shortage,"SANDOZ AZITHROMYCIN","SANDOZ CANADA INCORPORATED",AZITHROMYCIN,AZITHROMYCIN,250MG,100FCT,"ORAL; ORAL",Resolved,TABLET,J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,2025-06-23,2025-07-18,2025-07-21,"Disruption of the manufacture of the drug.",2025-06-23,2025-07-22,No
83757,02247439,Shortage,"SANDOZ BISOPROLOL","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",5MG,"Bottle of 100s",ORAL,Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2019-07-04,2020-02-03,2020-01-21,"Disruption of the manufacture of the drug.",2019-05-10,2020-02-15,No
83760,02247440,Shortage,"SANDOZ BISOPROLOL","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",10MG,"Bottle of 100s",ORAL,Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",2019-12-30,,2020-02-17,2020-03-03,"Disruption of the manufacture of the drug.",2019-05-10,2020-03-30,No
153600,02494043,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",10MG,"100FCT BO","ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2022-01-26,2022-02-11,2022-02-17,"Demand increase for the drug.",2022-01-26,2022-02-18,No
154021,02494035,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",5MG,"100FCT BO","ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2022-02-01,2022-03-11,2022-03-03,"Delay in shipping of the drug.",2022-02-02,2022-03-04,No
159641,02494035,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",5MG,"100FCT BO","ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2022-04-28,2022-05-20,2022-05-24,"Requirements related to complying with good manufacturing practices.",2022-04-29,2022-05-24,No
179571,02494043,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",10MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2022-12-14,2023-02-03,2023-02-08,"Demand increase for the drug.",2022-12-28,2023-02-09,No
179574,02494035,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED","BISOPROLOL TABLETS","BISOPROLOL FUMARATE",5MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2022-12-14,2023-02-03,2023-01-31,"Demand increase for the drug.",2022-12-28,2023-02-01,No
188637,02494035,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",5MG,100FCT,"ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2023-04-03,2023-04-07,2023-04-11,"Requirements related to complying with good manufacturing practices.",2023-04-04,2023-04-12,No
229480,02494035,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED",BISOPROLOL,"BISOPROLOL FUMARATE",5MG,"100FCT BO","ORAL; ORAL",Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2024-06-03,2024-06-06,2024-06-12,"Delay in shipping of the drug.",2024-06-03,2024-06-13,No
272905,02544245,Shortage,"SANDOZ BISOPROLOL TABLETS","SANDOZ CANADA INCORPORATED","BISOPROLOL TABLETS","BISOPROLOL FUMARATE",1.25MG,100FCT,ORAL,Resolved,TABLET,C07AB,"BETA BLOCKING AGENTS",,2025-12-01,2025-12-12,2025-12-05,"Demand increase for the drug.",2025-12-01,2025-12-08,No
38711,02386275,Shortage,"SANDOZ BOSENTAN","SANDOZ CANADA INCORPORATED",BOSENTAN,BOSENTAN,62.5MG,4X15'S,ORAL,Resolved,TABLET,C02KX,"OTHER ANTIHYPERTENSIVES",,2018-01-19,2018-03-02,2018-03-23,"Delay in shipping of the drug.",2018-02-06,2018-04-13,No
134152,02386283,Shortage,"SANDOZ BOSENTAN","SANDOZ CANADA INCORPORATED","SANDOZ BOSENTAN",BOSENTAN,125MG,"60FCT CA","ORAL; ORAL","Avoided shortage",TABLET,C02KX,"OTHER ANTIHYPERTENSIVES",,2021-02-12,,2021-01-30,"Disruption of the manufacture of the drug.",2021-02-16,2023-11-17,No
41626,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,5ML,OPHTHALMIC,Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",2018-03-05,2018-03-16,2018-05-18,2018-05-04,"Requirements related to complying with good manufacturing practices.",2018-03-02,2018-05-23,No
64200,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED","BRIMONIDINE Oph","BRIMONIDINE TARTRATE",0.2%,5ML,OPHTHALMIC,Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2018-07-27,2018-10-26,2018-10-26,"Delay in shipping of the drug.",2018-10-15,2018-10-30,No
130191,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED","BRIMONIDINE SDZ","BRIMONIDINE TARTRATE",0.2%,5ml,"OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2020-12-15,2021-01-08,2021-01-08,"Disruption of the manufacture of the drug.",2020-12-15,2021-01-12,No
130194,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED","BRIMONIDINE SDZ","BRIMONIDINE TARTRATE",0.2%,10ml,"OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2020-12-18,2021-01-08,2021-01-08,"Disruption of the manufacture of the drug.",2020-12-15,2021-01-12,No
159079,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,"5ML LDP","OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2022-04-20,2022-08-05,2022-08-18,"Disruption of the manufacture of the drug.",2022-04-21,2022-08-18,No
163237,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,"10ML LDP","OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2022-06-22,2022-08-19,2022-08-18,"Disruption of the manufacture of the drug.",2022-06-22,2022-08-18,No
168444,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,"5ML LDP","OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2022-09-01,2022-09-16,2022-09-09,"Shortage of an inactive ingredient or component.",2022-09-01,2022-09-10,No
170321,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,"10ML LDP","OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2022-09-27,2022-12-09,2022-12-07,"Requirements related to complying with good manufacturing practices.",2022-09-27,2022-12-12,No
227844,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,5ML,"OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2024-05-13,2024-05-31,2024-05-27,"Disruption of the manufacture of the drug.",2024-05-13,2024-05-28,No
230185,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,10ML,"OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2024-06-12,2024-06-28,2024-07-02,"Disruption of the manufacture of the drug.",2024-06-12,2024-07-03,No
271982,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,5ML,"OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2025-11-17,2026-01-30,2026-01-30,"Disruption of the manufacture of the drug.",2025-11-17,2026-03-03,No
277087,02305429,Shortage,"SANDOZ BRIMONIDINE","SANDOZ CANADA INCORPORATED",BRIMONIDINE,"BRIMONIDINE TARTRATE",0.2%,10ML,"OPHTHALMIC; OPHTHALMIC",Resolved,SOLUTION,S01EA,"ANTIGLAUCOMA PREPARATIONS AND MIOTICS",,2026-02-02,2026-03-06,2026-03-09,"Disruption of the manufacture of the drug.",2026-02-02,2026-03-24,No
29091,02275082,Shortage,"SANDOZ BUPROPION SR","SANDOZ CANADA INCORPORATED",BUPROPION,"BUPROPION HYDROCHLORIDE",150MG,60'S,ORAL,Resolved,"TABLET (EXTENDED-RELEASE)",N06AX,ANTIDEPRESSANTS,,2017-10-23,2017-11-20,2017-11-17,"Delay in shipping of the drug.",2017-11-14,2017-11-27,No
134451,02275082,Shortage,"SANDOZ BUPROPION SR","SANDOZ CANADA INCORPORATED","SANDOZ BUPROPION  SR","BUPROPION HYDROCHLORIDE",150MG,"60PRT BO CA","ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",N06AX,ANTIDEPRESSANTS,,2021-02-19,2021-03-12,2021-03-05,"Delay in shipping of the drug.",2021-02-22,2021-03-08,No
5565,02326965,Shortage,"SANDOZ CANDESARTAN","SANDOZ CANADA INCORPORATED",CANDESARTAN,"CANDESARTAN CILEXETIL",8MG,500,ORAL,Resolved,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",,2017-04-03,2017-04-24,2017-05-05,"Delay in shipping of the drug.",2017-04-05,2017-05-08,No
21267,02417340,Shortage,"SANDOZ CANDESARTAN","SANDOZ CANADA INCORPORATED",CANDESARTAN,"CANDESARTAN CILEXETIL",32MG,100,ORAL,Resolved,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",,2017-09-01,2017-09-11,2017-09-08,"Delay in shipping of the drug.",2017-09-07,2017-09-09,No
