"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
164635,02164396,Discontinuation,ACEBUTOLOL-100,"PRO DOC LIMITEE","ACEBUTOLOL 100",ACEBUTOLOL,100MG,100,"ORAL; ORAL",Discontinued,TABLET,C07AB,"BETA BLOCKING AGENTS",2022-07-14,,"Business reasons",2022-07-14,2022-07-15,No
164638,02164418,Discontinuation,ACEBUTOLOL-200,"PRO DOC LIMITEE","ACEBUTOLOL 200",ACEBUTOLOL,200MG,100,"ORAL; ORAL",Discontinued,TABLET,C07AB,"BETA BLOCKING AGENTS",2022-07-14,,"Business reasons",2022-07-14,2022-07-15,No
40586,01999648,Discontinuation,"ACET CODEINE 30","PHARMASCIENCE INC","acetaminophen codeine","ACETAMINOPHEN; CODEINE PHOSPHATE","300MG; 30MG",500,ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2018-07-17,2018-03-26,"Other (Please describe in comments)",2018-02-22,2018-07-23,No
72608,01999656,Discontinuation,"ACET CODEINE 60","PHARMASCIENCE INC","ACET CODEINE","ACETAMINOPHEN; CODEINE PHOSPHATE","300MG; 60MG",100,ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2019-01-16,,"Business reasons",2019-01-16,2019-01-17,No
88139,02154234,Discontinuation,"ACETAMINOPHEN 300 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE","VITA HEALTH PRODUCTS INC","Acetaminophen 300 mg with 15 mg Caffeine and 8 mg Codeine Phosphate","ACETAMINOPHEN; CODEINE PHOSPHATE; CAFFEINE","300MG; 8MG; 15MG","30, 50, 100, 200",ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2019-06-29,,"Other (Please describe in comments)",2019-07-02,2019-07-02,No
24237,00706221,Discontinuation,"ACETAMINOPHEN 325 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE","VITA HEALTH PRODUCTS INC","Acetaminophen 325 mg with 15 mg Caffeine and 8 mg Codeine Phosphate","ACETAMINOPHEN; CODEINE PHOSPHATE; CAFFEINE","325MG; 8MG; 15MG","30, 50, 100, 200",ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2017-09-29,2017-09-29,"Business reasons",2017-10-03,2017-10-04,No
65585,02362341,Discontinuation,"ACETAMINOPHEN CAPLETS 325 MG","APOTEX INC","ACETAMINOPHEN CAPLETS 325mg",ACETAMINOPHEN,325MG,"30 BTL",ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-10-22,,"Business reasons",2018-10-25,2018-10-25,No
71222,02362341,Discontinuation,"ACETAMINOPHEN CAPLETS 325 MG","APOTEX INC","ACETAMINOPHEN TAB 325MG",ACETAMINOPHEN,325MG,"30 BTL",ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-07-12,,"Business reasons",2019-01-04,2019-01-04,No
71225,02362368,Discontinuation,"ACETAMINOPHEN CAPLETS 500 MG","APOTEX INC","ACETAMINOPHEN TAB 500MG",ACETAMINOPHEN,500MG,"30 BTL",ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-01-03,,"Business reasons",2019-01-04,2019-01-04,No
71192,02290901,Discontinuation,"ACETAMINOPHEN HEADACHE ULTRA RELIEF","APOTEX INC","ACETAMINOPHEN/CAFFEINE TAB 500/65MG","ACETAMINOPHEN; CAFFEINE","500MG; 65MG","20 BTL & 80 BTL",ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2017-12-12,,"Business reasons",2019-01-04,2019-01-04,No
